Stock_Name,Date,Time,Open,High,Low,Close,Price,Volume,Percent_Change
"NESTLEIND","18 November, 2021","13:11:04",19400,19488.8,19280.05,19477.05,19420,21884,-0.29
"NESTLEIND","18 November, 2021","13:13:04",19400,19488.8,19280.05,19477.05,19424.75,21953,-0.27
"NESTLEIND","18 November, 2021","13:15:04",19400,19488.8,19280.05,19477.05,19423.95,21993,-0.27
"NESTLEIND","18 November, 2021","13:17:04",19400,19488.8,19280.05,19477.05,19427.6,22030,-0.25
"NESTLEIND","18 November, 2021","13:19:04",19400,19488.8,19280.05,19477.05,19427.3,22057,-0.26
"NESTLEIND","18 November, 2021","13:21:04",19400,19488.8,19280.05,19477.05,19426.7,22076,-0.26
"NESTLEIND","18 November, 2021","13:23:04",19400,19488.8,19280.05,19477.05,19426.55,22094,-0.26
"NESTLEIND","18 November, 2021","13:25:04",19400,19488.8,19280.05,19477.05,19443.05,22183,-0.17
"NESTLEIND","18 November, 2021","13:27:04",19400,19488.8,19280.05,19477.05,19428.7,22223,-0.25
"NESTLEIND","18 November, 2021","13:29:04",19400,19488.8,19280.05,19477.05,19431.45,22271,-0.23
"NESTLEIND","18 November, 2021","13:31:04",19400,19488.8,19280.05,19477.05,19430.4,22295,-0.24
"NESTLEIND","18 November, 2021","13:33:04",19400,19488.8,19280.05,19477.05,19429.3,22313,-0.25
"NESTLEIND","18 November, 2021","13:35:03",19400,19488.8,19280.05,19477.05,19431,22397,-0.24
"NESTLEIND","18 November, 2021","13:37:03",19400,19488.8,19280.05,19477.05,19429.95,22471,-0.24
"NESTLEIND","18 November, 2021","13:39:03",19400,19488.8,19280.05,19477.05,19432.45,22492,-0.23
"NESTLEIND","18 November, 2021","13:41:03",19400,19488.8,19280.05,19477.05,19430.65,22657,-0.24
"NESTLEIND","18 November, 2021","13:43:04",19400,19488.8,19280.05,19477.05,19426.3,22688,-0.26
"NESTLEIND","18 November, 2021","13:45:03",19400,19488.8,19280.05,19477.05,19440,22850,-0.19
"NESTLEIND","18 November, 2021","13:47:03",19400,19488.8,19280.05,19477.05,19449,22923,-0.14
"NESTLEIND","18 November, 2021","13:49:05",19400,19488.8,19280.05,19477.05,19449.25,23047,-0.14
"NESTLEIND","18 November, 2021","13:51:03",19400,19488.8,19280.05,19477.05,19450,23117,-0.14
"NESTLEIND","18 November, 2021","13:53:04",19400,19488.8,19280.05,19477.05,19440.05,23305,-0.19
"NESTLEIND","18 November, 2021","13:55:04",19400,19488.8,19280.05,19477.05,19440.2,23323,-0.19
"NESTLEIND","18 November, 2021","13:57:05",19400,19488.8,19280.05,19477.05,19440,23403,-0.19
